metric,baseline_mean,pu_mean,mean_delta,pu_wins,pu_losses,ties,paired_ttest_p
auc,0.979271,0.980474,+0.001202,10,0,0,0.000870
auprc,0.977095,0.977902,+0.000808,6,4,0,0.078987
f1,0.931451,0.934410,+0.002959,7,3,0,0.038039
mcc,0.862520,0.867410,+0.004890,6,4,0,0.062769
