metric,baseline_mean,pu_mean,mean_delta,pu_wins,pu_losses,ties,paired_ttest_p
auc,0.979732,0.980392,+0.000660,8,2,0,0.021556
auprc,0.977662,0.977983,+0.000321,6,4,0,0.436271
f1,0.933776,0.934767,+0.000991,6,4,0,0.143645
mcc,0.866051,0.868331,+0.002279,6,4,0,0.105823
