run_label,metric,mean,std,delta_vs_baseline,seed_spread_range
hybrid seed=2026,auc,0.980420,0.001654,+0.001149,0.000028
hybrid seed=2026,auprc,0.977929,0.002029,+0.000834,0.000054
hybrid seed=2026,f1,0.935064,0.004161,+0.003613,0.000297
hybrid seed=2026,mcc,0.868409,0.007948,+0.005889,0.000078
hybrid seed=1337,auc,0.980392,0.001528,+0.001121,0.000028
hybrid seed=1337,auprc,0.977983,0.002393,+0.000888,0.000054
hybrid seed=1337,f1,0.934767,0.003469,+0.003316,0.000297
hybrid seed=1337,mcc,0.868331,0.005781,+0.005811,0.000078
