rank,herb_id,adr_id,herb_latin,adr_pt,source,original_score,priority_score,max_path_score_drop,max_target_score_drop,max_component_score_drop,top_path_features,top_path_text,max_node_score_drop,top_node_feature,top_node_type,evidence_grade,updated_grade_recommendation,manual_review_status,paper_use,direct_literature_support,literature_record_count,literature_support_candidate_count,verified_literature_count,review_action
1,277,2931,Citrus aurantium L.,Watery diarrhoea,case_zhishi_diarrhoea,0.4762897789478302,0.0100741684,0.0100741684,0.0098346472,0.0002386272,compound:523;target:3223,枳实（Citrus aurantium L.） → Compound #523 → Target #3223 → Watery diarrhoea,0.0098346472,target:3223,target,C,C,mechanism_relevant_direction_conflicting,hypothesis-generating mechanistic discussion only,False,0,0,0,preserve_as_mechanism_screening_boundary
2,237,3989,Fragaria vesca L.,Altered state of consciousness,table5_top15,0.999184787273407,2.12789e-05,2.12789e-05,0.0,2.12789e-05,compound:1073;target:2586,成分介导：野草莓（Fragaria vesca?L.） → Compound #1073 → Target #2586 ← Altered state of consciousness,2.12789e-05,compound:1073,compound,C,C,external_not_supported,negative screening example only,False,9,0,0,preserve_as_mechanism_screening_boundary
