case_index,contribution_type,source,herb_id,adr_id,original_score,feature,node_type,node_id,path_index,path_text,path_features,masked_score,score_drop
5,node,pu_xmsat_global_unobserved_pairs,500,3989,0.9982326030731201,target:7213,target,7213,,,,0.9982319474220276,6.557e-07
5,node,pu_xmsat_global_unobserved_pairs,500,3989,0.9982326030731201,target:1774,target,1774,,,,0.9982325434684753,5.96e-08
5,node,pu_xmsat_global_unobserved_pairs,500,3989,0.9982326030731201,compound:610,compound,610,,,,0.9982328414916992,-2.384e-07
5,path,pu_xmsat_global_unobserved_pairs,500,3989,0.9982326030731201,path:1,,,1,成分介导：同形裂片胡枝子（Lespedeza homoloba） → Compound #610 → Target #7213 ← Altered state of consciousness,compound:610;target:7213,0.9982321858406067,4.172e-07
5,path,pu_xmsat_global_unobserved_pairs,500,3989,0.9982326030731201,path:2,,,2,成分介导：同形裂片胡枝子（Lespedeza homoloba） → Compound #610 → Target #1774 ← Altered state of consciousness,compound:610;target:1774,0.9982326030731201,0.0
6,node,pu_xmsat_global_unobserved_pairs,495,4997,0.9981611371040344,compound:821,compound,821,,,,0.9979569911956787,0.0002041459
6,node,pu_xmsat_global_unobserved_pairs,495,4997,0.9981611371040344,target:2586,target,2586,,,,0.9981604218482971,7.153e-07
6,path,pu_xmsat_global_unobserved_pairs,495,4997,0.9981611371040344,path:1,,,1,成分介导：荷兰种植番红花（Crocus antalyensis cv） → Compound #821 → Target #2586 ← Jaundice,compound:821;target:2586,0.9979562759399414,0.0002048612
7,node,pu_xmsat_global_unobserved_pairs,237,2453,0.9981094598770142,compound:1073,compound,1073,,,,0.9980872273445129,2.22325e-05
7,node,pu_xmsat_global_unobserved_pairs,237,2453,0.9981094598770142,compound:1121,compound,1121,,,,0.9980986714363098,1.07884e-05
7,node,pu_xmsat_global_unobserved_pairs,237,2453,0.9981094598770142,target:7260,target,7260,,,,0.9981069564819336,2.5034e-06
7,node,pu_xmsat_global_unobserved_pairs,237,2453,0.9981094598770142,target:2146,target,2146,,,,0.9981070756912231,2.3842e-06
7,node,pu_xmsat_global_unobserved_pairs,237,2453,0.9981094598770142,compound:1023,compound,1023,,,,0.9981182813644409,-8.8215e-06
7,path,pu_xmsat_global_unobserved_pairs,237,2453,0.9981094598770142,path:1,,,1,成分介导：野草莓（Fragaria vesca?L.） → Compound #1073 → Target #7260 ← Spina bifida,compound:1073;target:7260,0.9980847835540771,2.46763e-05
7,path,pu_xmsat_global_unobserved_pairs,237,2453,0.9981094598770142,path:2,,,2,成分介导：野草莓（Fragaria vesca?L.） → Compound #1121 → Target #2146 ← Spina bifida,compound:1121;target:2146,0.9980961680412292,1.32918e-05
7,path,pu_xmsat_global_unobserved_pairs,237,2453,0.9981094598770142,path:3,,,3,成分介导：野草莓（Fragaria vesca?L.） → Compound #1121 → Target #7260 ← Spina bifida,compound:1121;target:7260,0.9980961680412292,1.32918e-05
7,path,pu_xmsat_global_unobserved_pairs,237,2453,0.9981094598770142,path:4,,,4,成分介导：野草莓（Fragaria vesca?L.） → Compound #1023 → Target #7260 ← Spina bifida,compound:1023;target:7260,0.9981158971786499,-6.4373e-06
8,node,pu_xmsat_global_unobserved_pairs,237,3387,0.998056173324585,compound:1073,compound,1073,,,,0.9980278611183167,2.83122e-05
8,node,pu_xmsat_global_unobserved_pairs,237,3387,0.998056173324585,target:20703,target,20703,,,,0.9980553388595581,8.345e-07
8,node,pu_xmsat_global_unobserved_pairs,237,3387,0.998056173324585,target:9880,target,9880,,,,0.998056173324585,0.0
8,path,pu_xmsat_global_unobserved_pairs,237,3387,0.998056173324585,path:2,,,2,成分介导：野草莓（Fragaria vesca?L.） → Compound #1073 → Target #20703 ← Light anaesthesia,compound:1073;target:20703,0.9980270266532898,2.91467e-05
8,path,pu_xmsat_global_unobserved_pairs,237,3387,0.998056173324585,path:1,,,1,成分介导：野草莓（Fragaria vesca?L.） → Compound #1073 → Target #9880 ← Light anaesthesia,compound:1073;target:9880,0.9980277419090271,2.84314e-05
9,node,pu_xmsat_global_unobserved_pairs,618,4997,0.9979984164237976,compound:480,compound,480,,,,0.9979656934738159,3.27229e-05
9,node,pu_xmsat_global_unobserved_pairs,618,4997,0.9979984164237976,target:2586,target,2586,,,,0.9979977011680603,7.153e-07
