metric,baseline_mean,pu_mean,mean_delta,pu_wins,pu_losses,ties,paired_ttest_p
auc,0.980392,0.979932,-0.000460,1,9,0,0.003968
auprc,0.977983,0.977368,-0.000615,2,8,0,0.011777
f1,0.934767,0.933956,-0.000811,2,8,0,0.081881
mcc,0.868331,0.866775,-0.001555,2,8,0,0.075667
