row_type,case_index,contribution_group,source,herb_id,adr_id,feature,display_name,name_source,node_type,node_id,path_features,path_display_features,path_text,score_drop,masked_score,drop_class,case_count,occurrence_count,mean_score_drop,max_score_drop,positive_drop_count,near_zero_drop_count,negative_drop_count
aggregate,,pathway,,,,path:3,,,,,compound:965;target:2586,Compound #965;Target #2586,,,,,1,1,2.0266e-06,2.0266e-06,0,1,0
aggregate,,pathway,,,,path:5,,,,,compound:1023;target:7213,Compound #1023;Target #7213,,,,,1,1,1.9073e-06,1.9073e-06,0,1,0
aggregate,,pathway,,,,path:4,,,,,compound:435;target:590,Compound #435;Target #590,,,,,1,1,1.5497e-06,1.5497e-06,0,1,0
aggregate,,pathway,,,,path:3,,,,,compound:1257;target:19336,Compound #1257;Target #19336,,,,,1,1,1.4305e-06,1.4305e-06,0,1,0
aggregate,,pathway,,,,path:6,,,,,compound:435;target:19336,Compound #435;Target #19336,,,,,1,1,1.3113e-06,1.3113e-06,0,1,0
aggregate,,pathway,,,,path:5,,,,,compound:1023;target:13438,Compound #1023;Target #13438,,,,,1,1,1.1921e-06,1.1921e-06,0,1,0
aggregate,,pathway,,,,path:6,,,,,compound:876;target:7938,Compound #876;Target #7938,,,,,1,1,1.1921e-06,1.1921e-06,0,1,0
aggregate,,pathway,,,,path:2,,,,,compound:1023;target:19336,Compound #1023;Target #19336,,,,,2,2,-2.7418e-06,1.1921e-06,0,2,0
aggregate,,pathway,,,,path:5,,,,,compound:699;target:19336,Compound #699;Target #19336,,,,,1,1,9.537e-07,9.537e-07,0,1,0
aggregate,,pathway,,,,path:4,,,,,compound:876;target:19336,Compound #876;Target #19336,,,,,1,1,9.537e-07,9.537e-07,0,1,0
aggregate,,pathway,,,,path:5,,,,,compound:435;target:974,Compound #435;Target #974,,,,,1,1,5.96e-07,5.96e-07,0,1,0
aggregate,,pathway,,,,path:4,,,,,compound:876;target:5720,Compound #876;Target #5720,,,,,1,1,4.768e-07,4.768e-07,0,1,0
aggregate,,pathway,,,,path:1,,,,,compound:610;target:7213,Compound #610;Target #7213,,,,,1,1,4.172e-07,4.172e-07,0,1,0
