metric,baseline_mean,pu_mean,mean_delta,pu_wins,pu_losses,ties,paired_ttest_p
auc,0.979271,0.980420,+0.001149,9,1,0,0.000419
auprc,0.977095,0.977929,+0.000834,9,1,0,0.003075
f1,0.931451,0.935064,+0.003613,8,2,0,0.007438
mcc,0.862520,0.868409,+0.005889,7,3,0,0.017861
