metric,baseline_mean,pu_mean,mean_delta,pu_wins,pu_losses,ties,paired_ttest_p
auc,0.979732,0.980420,+0.000688,9,1,0,0.007714
auprc,0.977662,0.977929,+0.000267,5,5,0,0.514958
f1,0.933776,0.935064,+0.001288,8,2,0,0.026969
mcc,0.866051,0.868409,+0.002358,8,2,0,0.037154
