metric,baseline_mean,pu_mean,mean_delta,pu_wins,pu_losses,ties,paired_ttest_p
auc,0.979271,0.979732,+0.000461,7,3,0,0.247404
auprc,0.977095,0.977662,+0.000568,7,3,0,0.326380
f1,0.931451,0.933776,+0.002325,7,3,0,0.065825
mcc,0.862520,0.866051,+0.003532,7,3,0,0.133407
