metric,baseline_mean,pu_mean,mean_delta,pu_wins,pu_losses,ties,paired_ttest_p
auc,0.979271,0.980392,+0.001121,9,1,0,0.001576
auprc,0.977095,0.977983,+0.000888,6,4,0,0.056348
f1,0.931451,0.934767,+0.003316,9,1,0,0.008698
mcc,0.862520,0.868331,+0.005811,8,2,0,0.015257
