metric,baseline_mean,pu_mean,mean_delta,pu_wins,pu_losses,ties,paired_ttest_p
auc,0.980392,0.980474,+0.000082,6,4,0,0.475350
auprc,0.977983,0.977902,-0.000081,3,7,0,0.680511
f1,0.934767,0.934410,-0.000357,6,4,0,0.662596
mcc,0.868331,0.867410,-0.000921,6,4,0,0.563612
