metric,baseline_mean,pu_mean,mean_delta,pu_wins,pu_losses,ties,paired_ttest_p
auc,0.979271,0.979932,+0.000660,8,2,0,0.025377
auprc,0.977095,0.977368,+0.000273,6,4,0,0.519426
f1,0.931451,0.933956,+0.002506,8,2,0,0.026615
mcc,0.862520,0.866775,+0.004256,8,2,0,0.051003
